STATE/UT,YEAR,CAUSE,CASES,January,February,March,April,May,June,July,August,September,October,November,December
Tamil Nadu,2014,Road Accident_Cases,67250,5658,5293,5824,5303,5711,5915,5719,5936,5777,5516,5036,5562
Tamil Nadu,2014,Railway Accident_Cases,1845,148,159,152,160,164,157,171,148,147,144,143,152
Tamil Nadu,2014,Railway Crossing_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2014,Total Traffic_Cases,69095,5806,5452,5976,5463,5875,6072,5890,6084,5924,5660,5179,5714
Telangana,2014,Road Accident_Cases,20078,1788,1666,1668,1507,1938,1740,1473,1510,1455,1535,1627,2171
Telangana,2014,Railway Accident_Cases,3,1,0,0,0,0,0,0,0,1,0,0,1
Telangana,2014,Railway Crossing_Cases,1061,95,89,87,81,85,95,96,99,91,96,68,79
Telangana,2014,Total Traffic_Cases,21142,1884,1755,1755,1588,2023,1835,1569,1609,1547,1631,1695,2251
Tripura,2014,Road Accident_Cases,716,65,74,81,63,72,46,64,53,54,60,38,46
Tripura,2014,Railway Accident_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2014,Railway Crossing_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2014,Total Traffic_Cases,716,65,74,81,63,72,46,64,53,54,60,38,46
Uttar Pradesh,2014,Road Accident_Cases,26064,2550,2311,2217,2067,2265,2209,2086,2017,1824,2023,2170,2325
Uttar Pradesh,2014,Railway Accident_Cases,4006,373,310,331,297,359,386,360,333,331,312,324,290
Uttar Pradesh,2014,Railway Crossing_Cases,359,35,35,40,17,29,34,37,24,29,25,17,37
Uttar Pradesh,2014,Total Traffic_Cases,30429,2958,2656,2588,2381,2653,2629,2483,2374,2184,2360,2511,2652
Uttarakhand,2014,Road Accident_Cases,801,58,43,65,64,77,62,61,72,69,83,76,71
Uttarakhand,2014,Railway Accident_Cases,35,2,4,6,5,3,4,1,2,2,3,2,1
Uttarakhand,2014,Railway Crossing_Cases,20,1,2,3,3,0,4,2,1,2,1,1,0
Uttarakhand,2014,Total Traffic_Cases,856,61,49,74,72,80,70,64,75,73,87,79,72
West Bengal,2014,Road Accident_Cases,17105,1516,1398,1473,1385,1527,1439,1416,1356,1391,1395,1415,1394
West Bengal,2014,Railway Accident_Cases,2895,230,215,222,247,243,286,273,266,243,263,193,214
West Bengal,2014,Railway Crossing_Cases,131,17,13,9,16,6,12,13,9,7,15,8,6
West Bengal,2014,Total Traffic_Cases,20131,1763,1626,1704,1648,1776,1737,1702,1631,1641,1673,1616,1614
A & N Islands,2014,Road Accident_Cases,218,25,13,19,19,18,15,15,16,15,23,18,22
A & N Islands,2014,Railway Accident_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N Islands,2014,Railway Crossing_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N Islands,2014,Total Traffic_Cases,218,25,13,19,19,18,15,15,16,15,23,18,22
Chandigarh,2014,Road Accident_Cases,366,35,22,31,40,32,25,22,32,38,31,28,30
Chandigarh,2014,Railway Accident_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2014,Railway Crossing_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2014,Total Traffic_Cases,366,35,22,31,40,32,25,22,32,38,31,28,30
D&N Haveli,2014,Road Accident_Cases,87,6,7,7,10,9,4,8,7,7,8,8,6
D&N Haveli,2014,Railway Accident_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2014,Railway Crossing_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2014,Total Traffic_Cases,87,6,7,7,10,9,4,8,7,7,8,8,6
Daman & Diu,2014,Road Accident_Cases,39,6,4,3,3,2,2,0,5,1,5,2,6
Daman & Diu,2014,Railway Accident_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2014,Railway Crossing_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2014,Total Traffic_Cases,39,6,4,3,3,2,2,0,5,1,5,2,6
Delhi UT,2014,Road Accident_Cases,8310,643,698,801,632,661,658,624,744,742,687,720,700
Delhi UT,2014,Railway Accident_Cases,914,67,67,85,76,71,80,81,85,77,86,81,58
Delhi UT,2014,Railway Crossing_Cases,11,1,1,2,1,1,1,1,1,1,0,1,0
Delhi UT,2014,Total Traffic_Cases,9235,711,766,888,709,733,739,706,830,820,773,802,758
Lakshadweep,2014,Road Accident_Cases,1,0,0,0,0,0,0,0,0,0,1,0,0
Lakshadweep,2014,Railway Accident_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2014,Railway Crossing_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2014,Total Traffic_Cases,1,0,0,0,0,0,0,0,0,0,1,0,0
Puducherry,2014,Road Accident_Cases,671,44,64,65,46,59,57,60,58,62,75,44,37
Puducherry,2014,Railway Accident_Cases,3,0,0,0,1,0,1,0,0,0,0,0,1
Puducherry,2014,Railway Crossing_Cases,1,0,0,0,0,0,0,0,0,0,0,0,1
Puducherry,2014,Total Traffic_Cases,675,44,64,65,47,59,58,60,58,62,75,44,39
Total (States),2014,Road Accident_Cases,441206,38940,36307,38159,35997,40623,38148,35217,35141,33620,35648,35558,37848
Total (States),2014,Railway Accident_Cases,27443,2261,1969,2218,2135,2416,2572,2235,2388,2338,2436,2237,2238
Total (States),2014,Railway Crossing_Cases,2535,213,200,211,194,214,245,230,211,212,208,177,220
Total (States),2014,Total Traffic_Cases,471184,41414,38476,40588,38326,43253,40965,37682,37740,36170,38292,37972,40306
Total (UTs),2014,Road Accident_Cases,9692,759,808,926,750,781,761,729,862,865,830,820,801
Total (UTs),2014,Railway Accident_Cases,917,67,67,85,77,71,81,81,85,77,86,81,59
Total (UTs),2014,Railway Crossing_Cases,12,1,1,2,1,1,1,1,1,1,0,1,1
Total (UTs),2014,Total Traffic_Cases,10621,827,876,1013,828,853,843,811,948,943,916,902,861
Total (All India),2014,Road Accident_Cases,450898,39699,37115,39085,36747,41404,38909,35946,36003,34485,36478,36378,38649
Total (All India),2014,Railway Accident_Cases,28360,2328,2036,2303,2212,2487,2653,2316,2473,2415,2522,2318,2297
Total (All India),2014,Railway Crossing_Cases,2547,214,201,213,195,215,246,231,212,213,208,178,221
TOTAL (ALL INDIA),2013,Road Accidents,443001,39185,36137,38543,37782,43064,37249,33847,33698,34565,35103,36297,37531
TOTAL (ALL INDIA),2013,Rail-Road Accidents,1388,135,129,110,102,142,112,117,118,101,95,109,118
TOTAL (ALL INDIA),2013,Other Railway Accidents,31236,2485,2351,2596,2637,2825,2669,2585,2651,2630,2707,2609,2491
TOTAL (ALL INDIA),2013,Total,475625,41805,38617,41249,40521,46031,40030,36549,36467,37296,37905,39015,40140
TOTAL (STATES),2013,Road Accidents,433251,38416,35419,37743,36984,42243,36448,33018,32915,33752,34230,35430,36653
TOTAL (STATES),2013,Rail-Road Accidents,1388,135,129,110,102,142,112,117,118,101,95,109,118
TOTAL (STATES),2013,Other Railway Accidents,29940,2393,2261,2497,2537,2701,2550,2461,2534,2515,2601,2498,2392
TOTAL (STATES),2013,Total,464579,40944,37809,40350,39623,45086,39110,35596,35567,36368,36926,38037,39163
TOTAL (UTs),2013,Road Accidents,9750,769,718,800,798,821,801,829,783,813,873,867,878
TOTAL (UTs),2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2013,Other Railway Accidents,1296,92,90,99,100,124,119,124,117,115,106,111,99
TOTAL (UTs),2013,Total,11046,861,808,899,898,945,920,953,900,928,979,978,977
ANDHRA PRADESH,2013,Road Accidents,43048,3732,3482,3715,3648,4531,3736,3018,3465,3450,3137,3432,3702
ANDHRA PRADESH,2013,Rail-Road Accidents,2,1,1,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2013,Other Railway Accidents,2742,202,213,220,222,249,255,209,254,233,235,222,228
ANDHRA PRADESH,2013,Total,45792,3935,3696,3935,3870,4780,3991,3227,3719,3683,3372,3654,3930
ARUNACHAL PRADESH,2013,Road Accidents,308,23,33,16,23,25,27,27,28,24,25,29,28
ARUNACHAL PRADESH,2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,Total,308,23,33,16,23,25,27,27,28,24,25,29,28
ASSAM,2013,Road Accidents,7211,634,555,603,632,595,580,535,552,601,697,635,592
ASSAM,2013,Rail-Road Accidents,14,2,1,2,3,1,0,0,0,1,1,1,2
ASSAM,2013,Other Railway Accidents,450,36,34,47,35,45,30,36,34,36,43,33,41
ASSAM,2013,Total,7675,672,590,652,670,641,610,571,586,638,741,669,635
BIHAR,2013,Road Accidents,10198,800,792,815,813,1269,913,882,758,735,765,845,811
BIHAR,2013,Rail-Road Accidents,17,2,4,3,0,2,0,1,4,0,0,0,1
BIHAR,2013,Other Railway Accidents,1788,124,134,138,165,161,183,166,163,127,158,140,129
BIHAR,2013,Total,12003,926,930,956,978,1432,1096,1049,925,862,923,985,941
CHHATTISGARH,2013,Road Accidents,13657,1384,1269,1288,1139,1209,1131,1025,1029,1005,1042,1046,1090
CHHATTISGARH,2013,Rail-Road Accidents,25,4,5,2,2,1,2,1,1,3,0,4,0
CHHATTISGARH,2013,Other Railway Accidents,595,42,50,54,50,49,43,48,62,50,56,44,47
CHHATTISGARH,2013,Total,14277,1430,1324,1344,1191,1259,1176,1074,1092,1058,1098,1094,1137
GOA,2013,Road Accidents,4293,418,372,380,336,361,300,291,327,376,346,376,410
GOA,2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2013,Other Railway Accidents,41,3,5,2,5,5,4,4,0,2,2,7,2
GOA,2013,Total,4334,421,377,382,341,366,304,295,327,378,348,383,412
GUJARAT,2013,Road Accidents,25035,2357,2189,2266,2189,2405,2142,1788,1821,1848,1931,2051,2048
GUJARAT,2013,Rail-Road Accidents,73,6,5,6,6,7,4,4,10,8,3,6,8
GUJARAT,2013,Other Railway Accidents,1212,89,85,108,98,94,119,97,90,124,96,109,103
GUJARAT,2013,Total,26320,2452,2279,2380,2293,2506,2265,1889,1921,1980,2030,2166,2159
HARYANA,2013,Road Accidents,10473,819,711,891,861,920,799,888,784,847,959,1025,969
HARYANA,2013,Rail-Road Accidents,11,2,3,0,0,1,2,0,1,2,0,0,0
HARYANA,2013,Other Railway Accidents,1331,170,140,125,108,109,91,87,78,93,108,113,109
HARYANA,2013,Total,11815,991,854,1016,969,1030,892,975,863,942,1067,1138,1078
HIMACHAL PRADESH,2013,Road Accidents,2981,209,202,216,254,266,234,263,235,276,273,276,277
HIMACHAL PRADESH,2013,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
